iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BDI,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,n2o,0,tonnes,annual,2023-10-03 21:10:33.877223,
BDI,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_100yr,190011,tonnes,annual,2023-10-03 21:10:33.877231,
BDI,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_20yr,564444.6,tonnes,annual,2023-10-03 21:10:33.877239,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2,0,tonnes,annual,2023-10-03 21:10:33.877748,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,ch4,111602.2,tonnes,annual,2023-10-03 21:10:33.877757,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,n2o,0,tonnes,annual,2023-10-03 21:10:33.877765,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_100yr,3035579.8,tonnes,annual,2023-10-03 21:10:33.877776,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_20yr,9017457.8,tonnes,annual,2023-10-03 21:10:33.877784,
BEN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2,0,tonnes,annual,2023-10-03 21:10:33.878284,
BEN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,ch4,31334.1,tonnes,annual,2023-10-03 21:10:33.878294,
BEN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,n2o,0,tonnes,annual,2023-10-03 21:10:33.878301,
BEN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_100yr,852287.5,tonnes,annual,2023-10-03 21:10:33.87831,
BEN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_20yr,2531795.3,tonnes,annual,2023-10-03 21:10:33.878317,
BFA,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2,0,tonnes,annual,2023-10-03 21:10:33.878823,
BFA,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,ch4,100023.6,tonnes,annual,2023-10-03 21:10:33.878833,
BFA,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,n2o,0,tonnes,annual,2023-10-03 21:10:33.87884,
BFA,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_100yr,2720641.9,tonnes,annual,2023-10-03 21:10:33.878849,
BFA,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_20yr,8081906.9,tonnes,annual,2023-10-03 21:10:33.878857,
