iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
CAN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,10917.4263716785,tonnes,annual,2023-10-06 00:00:00,
CAN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,283.044391430743,tonnes,annual,2023-10-06 00:00:00,
CAN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,6500114.301990079,tonnes,annual,2023-10-06 00:00:00,
CAN,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,7085288.355512045,tonnes,annual,2023-10-06 00:00:00,
CHE,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,54430.6968148986,tonnes,annual,2023-10-06 00:00:00,
CHE,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,97.0052090897668,tonnes,annual,2023-10-06 00:00:00,
CHE,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,2.51494976605457,tonnes,annual,2023-10-06 00:00:00,
CHE,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,57755.819788273155,tonnes,annual,2023-10-06 00:00:00,
CHE,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,62955.298995484656,tonnes,annual,2023-10-06 00:00:00,
CHL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,1190351.11139691,tonnes,annual,2023-10-06 00:00:00,
CHL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,2121.4178965142,tonnes,annual,2023-10-06 00:00:00,
CHL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,54.9997186768381,tonnes,annual,2023-10-06 00:00:00,
CHL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,1263068.601380873,tonnes,annual,2023-10-06 00:00:00,
